Rating,ReviewText
5.0, This Amazon Gift Card was a birthday gift for my sister   she really appreciates it a lot since she enjoys shopping on Amazon   this way she can pick out what she wants    and that made gift giving a whole lot easier for me  The card was shipped very quickly   was delivered in time for me to give it to her on her birthday which was great  I thought the bright Happy Birthday envelope it came in was nice   festive    I don t anticipate her having any problems using the card so I d say it s all good  Update  Review still stands at   stars after I double checked with my sister about if she had any problems using this Amazon gift card   she told me she happily used it with absolutely no problems    so it s still all good       
5.0, The gift card was easy to order and send  has stylish envelope  
5.0, Have sent many of these gift cards to my GrandchildrenThey are awesome for older kids or younger ones who are not sure what they want for their birthdays  
5.0, My first Amazon gift card  When you re in doubt in selecting a gift for someone  why not give an Amazon gift card  Everyone I know orders or has ordered from Amazon  
5.0, It s a gift card  
5.0, This is a great gift for anyone as it gives so many options for the person you are gifting it to  I highly recommend  
5.0, This gift card is perfect for any occasion and have extremely fast delivery  Here are some thing to note though  The gift card itself is made out of a paper type substance  like the envelope and mailer it comes in  Amazon also took some steps to make gift card tampering evident  Everything comes wrapped in plastic  you might want to take it off and write whatever you may want on the lines provided  The envelope itself and gift card is stuck together with some pressure sensitive hot melt adhesive  That s a mouthful  but it s essentially what holds a credit card to a piece of paper  The recipient can then peel the claim code  that s the third safety measure  It can then be redeemed to an amazon account  Then  the recipient can shop for whatever they may want on the largest marketplace for products in the world  Overall  an amazon gift card can some of the best gifts one can recieve  
5.0, Not too sure how to review a gift card but here it is  It came with a Thank you card just as displayed  I gave Amazon money I could spend anywhere and they put it on a gift card to spend on their website  Was a good little gift for people who use Amazon Now I just feel like I m BSing this review  so I m done  
4.9, I buy these Amazon birthday gift cards often for gifts  The recipients are always so excited to get one because they can shop for what they want or need from the vast selection of products on Amazon The birthday design is really cute and the gift card is small enough to put in a birthday card  Its a special way to tell someone happy birthday  
5.0, I buy Amazon gift cards   I love the many designs  the many printed sentiments  the option to add personal notes   and the variety of not only dollar amounts but also physical forms   During the holidays  I used a bunch of these cards as prizes for a family   friends trivia game   a     Amazon gift card is a really cool prize   Tip for parents   Best to make sure you  and not your child  pockets the card if they win one   Sixteen and above may be counted on carefully to hoard their cards   however  for younger kids  you may want to ensure that the card doesn t get lost in a coat pocket   We had a lot of fun with these cards  
3.0, This Amazon Gift Card was a birthday gift for my sister   she really appreciates it a lot since she enjoys shopping on Amazon   this way she can pick out what she wants    and that made gift giving a whole lot easier for me  The card was shipped very quickly   was delivered in time for me to give it to her on her birthday which was great  I thought the bright Happy Birthday envelope it came in was nice   festive    I don t anticipate her having any problems using the card so I d say it s all good  Update  Review still stands at   stars after I double checked with my sister about if she had any problems using this Amazon gift card   she told me she happily used it with absolutely no problems    so it s still all good       
5.0, The gift card was easy to order and send  has stylish envelope  
5.0, Have sent many of these gift cards to my GrandchildrenThey are awesome for older kids or younger ones who are not sure what they want for their birthdays  
5.0, My first Amazon gift card  When you re in doubt in selecting a gift for someone  why not give an Amazon gift card  Everyone I know orders or has ordered from Amazon  
5.0, It s a gift card  
5.0, This is a great gift for anyone as it gives so many options for the person you are gifting it to  I highly recommend  
5.0, This gift card is perfect for any occasion and have extremely fast delivery  Here are some thing to note though  The gift card itself is made out of a paper type substance  like the envelope and mailer it comes in  Amazon also took some steps to make gift card tampering evident  Everything comes wrapped in plastic  you might want to take it off and write whatever you may want on the lines provided  The envelope itself and gift card is stuck together with some pressure sensitive hot melt adhesive  That s a mouthful  but it s essentially what holds a credit card to a piece of paper  The recipient can then peel the claim code  that s the third safety measure  It can then be redeemed to an amazon account  Then  the recipient can shop for whatever they may want on the largest marketplace for products in the world  Overall  an amazon gift card can some of the best gifts one can recieve  
5.0, Not too sure how to review a gift card but here it is  It came with a Thank you card just as displayed  I gave Amazon money I could spend anywhere and they put it on a gift card to spend on their website  Was a good little gift for people who use Amazon Now I just feel like I m BSing this review  so I m done  
5.0, I buy these Amazon birthday gift cards often for gifts  The recipients are always so excited to get one because they can shop for what they want or need from the vast selection of products on Amazon The birthday design is really cute and the gift card is small enough to put in a birthday card  Its a special way to tell someone happy birthday  
5.0, I buy Amazon gift cards   I love the many designs  the many printed sentiments  the option to add personal notes   and the variety of not only dollar amounts but also physical forms   During the holidays  I used a bunch of these cards as prizes for a family   friends trivia game   a     Amazon gift card is a really cool prize   Tip for parents   Best to make sure you  and not your child  pockets the card if they win one   Sixteen and above may be counted on carefully to hoard their cards   however  for younger kids  you may want to ensure that the card doesn t get lost in a coat pocket   We had a lot of fun with these cards  
5.0, This Amazon Gift Card was a birthday gift for my sister   she really appreciates it a lot since she enjoys shopping on Amazon   this way she can pick out what she wants    and that made gift giving a whole lot easier for me  The card was shipped very quickly   was delivered in time for me to give it to her on her birthday which was great  I thought the bright Happy Birthday envelope it came in was nice   festive    I don t anticipate her having any problems using the card so I d say it s all good  Update  Review still stands at   stars after I double checked with my sister about if she had any problems using this Amazon gift card   she told me she happily used it with absolutely no problems    so it s still all good       
4.9, The gift card was easy to order and send  has stylish envelope  
5.0, Have sent many of these gift cards to my GrandchildrenThey are awesome for older kids or younger ones who are not sure what they want for their birthdays  
3.0, My first Amazon gift card  When you re in doubt in selecting a gift for someone  why not give an Amazon gift card  Everyone I know orders or has ordered from Amazon  
5.0, It s a gift card  
5.0, This is a great gift for anyone as it gives so many options for the person you are gifting it to  I highly recommend  
5.0, This gift card is perfect for any occasion and have extremely fast delivery  Here are some thing to note though  The gift card itself is made out of a paper type substance  like the envelope and mailer it comes in  Amazon also took some steps to make gift card tampering evident  Everything comes wrapped in plastic  you might want to take it off and write whatever you may want on the lines provided  The envelope itself and gift card is stuck together with some pressure sensitive hot melt adhesive  That s a mouthful  but it s essentially what holds a credit card to a piece of paper  The recipient can then peel the claim code  that s the third safety measure  It can then be redeemed to an amazon account  Then  the recipient can shop for whatever they may want on the largest marketplace for products in the world  Overall  an amazon gift card can some of the best gifts one can recieve  
5.0, Not too sure how to review a gift card but here it is  It came with a Thank you card just as displayed  I gave Amazon money I could spend anywhere and they put it on a gift card to spend on their website  Was a good little gift for people who use Amazon Now I just feel like I m BSing this review  so I m done  
5.0, I buy these Amazon birthday gift cards often for gifts  The recipients are always so excited to get one because they can shop for what they want or need from the vast selection of products on Amazon The birthday design is really cute and the gift card is small enough to put in a birthday card  Its a special way to tell someone happy birthday  
5.0, I buy Amazon gift cards   I love the many designs  the many printed sentiments  the option to add personal notes   and the variety of not only dollar amounts but also physical forms   During the holidays  I used a bunch of these cards as prizes for a family   friends trivia game   a     Amazon gift card is a really cool prize   Tip for parents   Best to make sure you  and not your child  pockets the card if they win one   Sixteen and above may be counted on carefully to hoard their cards   however  for younger kids  you may want to ensure that the card doesn t get lost in a coat pocket   We had a lot of fun with these cards  
5.0, This Amazon Gift Card was a birthday gift for my sister   she really appreciates it a lot since she enjoys shopping on Amazon   this way she can pick out what she wants    and that made gift giving a whole lot easier for me  The card was shipped very quickly   was delivered in time for me to give it to her on her birthday which was great  I thought the bright Happy Birthday envelope it came in was nice   festive    I don t anticipate her having any problems using the card so I d say it s all good  Update  Review still stands at   stars after I double checked with my sister about if she had any problems using this Amazon gift card   she told me she happily used it with absolutely no problems    so it s still all good       
5.0, The gift card was easy to order and send  has stylish envelope  
5.0, Have sent many of these gift cards to my GrandchildrenThey are awesome for older kids or younger ones who are not sure what they want for their birthdays  
5.0, My first Amazon gift card  When you re in doubt in selecting a gift for someone  why not give an Amazon gift card  Everyone I know orders or has ordered from Amazon  
4.9, It s a gift card  
5.0, This is a great gift for anyone as it gives so many options for the person you are gifting it to  I highly recommend  
3.0, This gift card is perfect for any occasion and have extremely fast delivery  Here are some thing to note though  The gift card itself is made out of a paper type substance  like the envelope and mailer it comes in  Amazon also took some steps to make gift card tampering evident  Everything comes wrapped in plastic  you might want to take it off and write whatever you may want on the lines provided  The envelope itself and gift card is stuck together with some pressure sensitive hot melt adhesive  That s a mouthful  but it s essentially what holds a credit card to a piece of paper  The recipient can then peel the claim code  that s the third safety measure  It can then be redeemed to an amazon account  Then  the recipient can shop for whatever they may want on the largest marketplace for products in the world  Overall  an amazon gift card can some of the best gifts one can recieve  
5.0, Not too sure how to review a gift card but here it is  It came with a Thank you card just as displayed  I gave Amazon money I could spend anywhere and they put it on a gift card to spend on their website  Was a good little gift for people who use Amazon Now I just feel like I m BSing this review  so I m done  
5.0, I buy these Amazon birthday gift cards often for gifts  The recipients are always so excited to get one because they can shop for what they want or need from the vast selection of products on Amazon The birthday design is really cute and the gift card is small enough to put in a birthday card  Its a special way to tell someone happy birthday  
5.0, I buy Amazon gift cards   I love the many designs  the many printed sentiments  the option to add personal notes   and the variety of not only dollar amounts but also physical forms   During the holidays  I used a bunch of these cards as prizes for a family   friends trivia game   a     Amazon gift card is a really cool prize   Tip for parents   Best to make sure you  and not your child  pockets the card if they win one   Sixteen and above may be counted on carefully to hoard their cards   however  for younger kids  you may want to ensure that the card doesn t get lost in a coat pocket   We had a lot of fun with these cards  
5.0, This Amazon Gift Card was a birthday gift for my sister   she really appreciates it a lot since she enjoys shopping on Amazon   this way she can pick out what she wants    and that made gift giving a whole lot easier for me  The card was shipped very quickly   was delivered in time for me to give it to her on her birthday which was great  I thought the bright Happy Birthday envelope it came in was nice   festive    I don t anticipate her having any problems using the card so I d say it s all good  Update  Review still stands at   stars after I double checked with my sister about if she had any problems using this Amazon gift card   she told me she happily used it with absolutely no problems    so it s still all good       
5.0, The gift card was easy to order and send  has stylish envelope  
5.0, Have sent many of these gift cards to my GrandchildrenThey are awesome for older kids or younger ones who are not sure what they want for their birthdays  
5.0, My first Amazon gift card  When you re in doubt in selecting a gift for someone  why not give an Amazon gift card  Everyone I know orders or has ordered from Amazon  
5.0, It s a gift card  
5.0, This is a great gift for anyone as it gives so many options for the person you are gifting it to  I highly recommend  
5.0, This gift card is perfect for any occasion and have extremely fast delivery  Here are some thing to note though  The gift card itself is made out of a paper type substance  like the envelope and mailer it comes in  Amazon also took some steps to make gift card tampering evident  Everything comes wrapped in plastic  you might want to take it off and write whatever you may want on the lines provided  The envelope itself and gift card is stuck together with some pressure sensitive hot melt adhesive  That s a mouthful  but it s essentially what holds a credit card to a piece of paper  The recipient can then peel the claim code  that s the third safety measure  It can then be redeemed to an amazon account  Then  the recipient can shop for whatever they may want on the largest marketplace for products in the world  Overall  an amazon gift card can some of the best gifts one can recieve  
4.9, Not too sure how to review a gift card but here it is  It came with a Thank you card just as displayed  I gave Amazon money I could spend anywhere and they put it on a gift card to spend on their website  Was a good little gift for people who use Amazon Now I just feel like I m BSing this review  so I m done  
5.0, I buy these Amazon birthday gift cards often for gifts  The recipients are always so excited to get one because they can shop for what they want or need from the vast selection of products on Amazon The birthday design is really cute and the gift card is small enough to put in a birthday card  Its a special way to tell someone happy birthday  
3.0, I buy Amazon gift cards   I love the many designs  the many printed sentiments  the option to add personal notes   and the variety of not only dollar amounts but also physical forms   During the holidays  I used a bunch of these cards as prizes for a family   friends trivia game   a     Amazon gift card is a really cool prize   Tip for parents   Best to make sure you  and not your child  pockets the card if they win one   Sixteen and above may be counted on carefully to hoard their cards   however  for younger kids  you may want to ensure that the card doesn t get lost in a coat pocket   We had a lot of fun with these cards  
5.0, This Amazon Gift Card was a birthday gift for my sister   she really appreciates it a lot since she enjoys shopping on Amazon   this way she can pick out what she wants    and that made gift giving a whole lot easier for me  The card was shipped very quickly   was delivered in time for me to give it to her on her birthday which was great  I thought the bright Happy Birthday envelope it came in was nice   festive    I don t anticipate her having any problems using the card so I d say it s all good  Update  Review still stands at   stars after I double checked with my sister about if she had any problems using this Amazon gift card   she told me she happily used it with absolutely no problems    so it s still all good       
5.0, The gift card was easy to order and send  has stylish envelope  
5.0, Have sent many of these gift cards to my GrandchildrenThey are awesome for older kids or younger ones who are not sure what they want for their birthdays  
5.0, My first Amazon gift card  When you re in doubt in selecting a gift for someone  why not give an Amazon gift card  Everyone I know orders or has ordered from Amazon  
5.0, It s a gift card  
5.0, This is a great gift for anyone as it gives so many options for the person you are gifting it to  I highly recommend  
5.0, This gift card is perfect for any occasion and have extremely fast delivery  Here are some thing to note though  The gift card itself is made out of a paper type substance  like the envelope and mailer it comes in  Amazon also took some steps to make gift card tampering evident  Everything comes wrapped in plastic  you might want to take it off and write whatever you may want on the lines provided  The envelope itself and gift card is stuck together with some pressure sensitive hot melt adhesive  That s a mouthful  but it s essentially what holds a credit card to a piece of paper  The recipient can then peel the claim code  that s the third safety measure  It can then be redeemed to an amazon account  Then  the recipient can shop for whatever they may want on the largest marketplace for products in the world  Overall  an amazon gift card can some of the best gifts one can recieve  
5.0, Not too sure how to review a gift card but here it is  It came with a Thank you card just as displayed  I gave Amazon money I could spend anywhere and they put it on a gift card to spend on their website  Was a good little gift for people who use Amazon Now I just feel like I m BSing this review  so I m done  
5.0, I buy these Amazon birthday gift cards often for gifts  The recipients are always so excited to get one because they can shop for what they want or need from the vast selection of products on Amazon The birthday design is really cute and the gift card is small enough to put in a birthday card  Its a special way to tell someone happy birthday  
5.0, I buy Amazon gift cards   I love the many designs  the many printed sentiments  the option to add personal notes   and the variety of not only dollar amounts but also physical forms   During the holidays  I used a bunch of these cards as prizes for a family   friends trivia game   a     Amazon gift card is a really cool prize   Tip for parents   Best to make sure you  and not your child  pockets the card if they win one   Sixteen and above may be counted on carefully to hoard their cards   however  for younger kids  you may want to ensure that the card doesn t get lost in a coat pocket   We had a lot of fun with these cards  
4.9, This Amazon Gift Card was a birthday gift for my sister   she really appreciates it a lot since she enjoys shopping on Amazon   this way she can pick out what she wants    and that made gift giving a whole lot easier for me  The card was shipped very quickly   was delivered in time for me to give it to her on her birthday which was great  I thought the bright Happy Birthday envelope it came in was nice   festive    I don t anticipate her having any problems using the card so I d say it s all good  Update  Review still stands at   stars after I double checked with my sister about if she had any problems using this Amazon gift card   she told me she happily used it with absolutely no problems    so it s still all good       
5.0, The gift card was easy to order and send  has stylish envelope  
3.0, Have sent many of these gift cards to my GrandchildrenThey are awesome for older kids or younger ones who are not sure what they want for their birthdays  
5.0, My first Amazon gift card  When you re in doubt in selecting a gift for someone  why not give an Amazon gift card  Everyone I know orders or has ordered from Amazon  
5.0, It s a gift card  
5.0, This is a great gift for anyone as it gives so many options for the person you are gifting it to  I highly recommend  
5.0, This gift card is perfect for any occasion and have extremely fast delivery  Here are some thing to note though  The gift card itself is made out of a paper type substance  like the envelope and mailer it comes in  Amazon also took some steps to make gift card tampering evident  Everything comes wrapped in plastic  you might want to take it off and write whatever you may want on the lines provided  The envelope itself and gift card is stuck together with some pressure sensitive hot melt adhesive  That s a mouthful  but it s essentially what holds a credit card to a piece of paper  The recipient can then peel the claim code  that s the third safety measure  It can then be redeemed to an amazon account  Then  the recipient can shop for whatever they may want on the largest marketplace for products in the world  Overall  an amazon gift card can some of the best gifts one can recieve  
5.0, Not too sure how to review a gift card but here it is  It came with a Thank you card just as displayed  I gave Amazon money I could spend anywhere and they put it on a gift card to spend on their website  Was a good little gift for people who use Amazon Now I just feel like I m BSing this review  so I m done  
5.0, I buy these Amazon birthday gift cards often for gifts  The recipients are always so excited to get one because they can shop for what they want or need from the vast selection of products on Amazon The birthday design is really cute and the gift card is small enough to put in a birthday card  Its a special way to tell someone happy birthday  
5.0, I buy Amazon gift cards   I love the many designs  the many printed sentiments  the option to add personal notes   and the variety of not only dollar amounts but also physical forms   During the holidays  I used a bunch of these cards as prizes for a family   friends trivia game   a     Amazon gift card is a really cool prize   Tip for parents   Best to make sure you  and not your child  pockets the card if they win one   Sixteen and above may be counted on carefully to hoard their cards   however  for younger kids  you may want to ensure that the card doesn t get lost in a coat pocket   We had a lot of fun with these cards  
5.0, This Amazon Gift Card was a birthday gift for my sister   she really appreciates it a lot since she enjoys shopping on Amazon   this way she can pick out what she wants    and that made gift giving a whole lot easier for me  The card was shipped very quickly   was delivered in time for me to give it to her on her birthday which was great  I thought the bright Happy Birthday envelope it came in was nice   festive    I don t anticipate her having any problems using the card so I d say it s all good  Update  Review still stands at   stars after I double checked with my sister about if she had any problems using this Amazon gift card   she told me she happily used it with absolutely no problems    so it s still all good       
5.0, The gift card was easy to order and send  has stylish envelope  
5.0, Have sent many of these gift cards to my GrandchildrenThey are awesome for older kids or younger ones who are not sure what they want for their birthdays  
4.9, My first Amazon gift card  When you re in doubt in selecting a gift for someone  why not give an Amazon gift card  Everyone I know orders or has ordered from Amazon  
5.0, It s a gift card  
3.0, This is a great gift for anyone as it gives so many options for the person you are gifting it to  I highly recommend  
5.0, This gift card is perfect for any occasion and have extremely fast delivery  Here are some thing to note though  The gift card itself is made out of a paper type substance  like the envelope and mailer it comes in  Amazon also took some steps to make gift card tampering evident  Everything comes wrapped in plastic  you might want to take it off and write whatever you may want on the lines provided  The envelope itself and gift card is stuck together with some pressure sensitive hot melt adhesive  That s a mouthful  but it s essentially what holds a credit card to a piece of paper  The recipient can then peel the claim code  that s the third safety measure  It can then be redeemed to an amazon account  Then  the recipient can shop for whatever they may want on the largest marketplace for products in the world  Overall  an amazon gift card can some of the best gifts one can recieve  
5.0, Not too sure how to review a gift card but here it is  It came with a Thank you card just as displayed  I gave Amazon money I could spend anywhere and they put it on a gift card to spend on their website  Was a good little gift for people who use Amazon Now I just feel like I m BSing this review  so I m done  
5.0, I buy these Amazon birthday gift cards often for gifts  The recipients are always so excited to get one because they can shop for what they want or need from the vast selection of products on Amazon The birthday design is really cute and the gift card is small enough to put in a birthday card  Its a special way to tell someone happy birthday  
